SMILES,Validity,SA Score
CCCCCC/C=C\COC(=O)CCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC(=O)OC/C=C\CCCCCC,True,3.077997481683358
CCCCCCCCCCCC(CNCCN(C)CCN(CC(CCCCCCCCCCC)O)CC(CCCCCCCCCCC)O)O,True,3.7385057492327416
CCCCCCCCCCCOC(=O)CCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8311227953170377
CCCCCCCCCCCOC(=O)CCCCCN(CCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCCO,True,2.854985211179759
CCCCCCCCCCCOC(=O)CCCCCCCCCN(CCCCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.946962961451355
CCCCCCCC/C=C\\CCCCCCCCOCC(CN(C)C)OCCCCCCCC/C=C\\CCCCCCCC,True,3.2445861958328113
CCCCC/C=C\\C/C=C\\CCCCCCCCOCC(CN(C)C)OCCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.5331624644676243
CCCCC/C=C\\C/C=C\\CCCCCCCCC1(OC(CO1)CN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.7530605475439476
CCCCC/C=C\\C/C=C\\CCCCCCCCC1(OC(CO1)CCN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.797056315894652
CCCCC/C=C/C/C=C/CCCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC/C=C/C/C=C/CCCCC,True,3.0995862398370964
CCCCC/C=C\\C/C=C\\CCCCCCCCSCC(CN(C)C)SCCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.7073935942753167
CCCCC/C=C\\C/C=C\\CCCCCCCCOCC(CN1CCN(CC1)C)OCCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.6324199073682744
CCCCCCCC/C=C\\CCCCCCCCN(CC(O)CO)CCCCCCCC/C=C\\CCCCCCCC,True,3.0712750901684007
CCCCCCCCCCCCN1CCN(CC1N(CCCCCCCCCCCC)CCCCCCCCCCCC)CCN(CCCCCCCCCCCC)CCCCCCCCCCCC,True,3.6772124852602763
CCCCCCCCCCCCCC(CCCCCCCCCCCCC)NCCNCCNCCNC(CCCCCCCCCCCCC)CCCCCCCCCCCCC,True,2.738685511947102
CCCCCCCCC1CC1CCCCCCCCC(CCCCCCCCC2CC2CCCCCCCC)OC(=O)CCCN(C)C,True,4.0056253476876265
CCCCC/C=C\\C/C=C\\CCCCCCCCOC(CC(=O)CCCCCCC/C=C\\C/C=C\\CCCCC)CN(C)C,True,3.6639930876781275
CCCCCCCCCCCCCCCC(=O)C(CCCCCC/C=C\\CCCCCCCC)C(=PC(C[N+](C)(C)C)O)[O-],True,4.1574300628882845
CCCCCCCCCCCCCCCC(=O)C(CCCCCC/C=C/CCCCCCCC)C(=POCC[N+](C)(C)C)[O-],True,3.887214258041956
CCCCCCCC/C=C/CCCCCCCC(=O)N(C(=O)CCCCCCC/C=C/CCCCCCCC)CC(O)CO,True,3.319816132074733
CCCCCCCC/C=C/CCCCCCCCN(CC(O)CO)CCCCCCCC/C=C/CCCCCCCC,True,3.0712750901684007
CCCCC/C=C\\C/C=C\\CCCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.0995862398370964
CCCCC/C=C\\C/C=C\\CCCCCCCCOC(C)C(N(C)C)OCCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.8669031568117855
CCCCC/C=C\\C/C=C\\CCCCCCCCC(OCCCN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.015001419671858
CCCCC/C=C\\C/C=C\\CCCCCCCCN(CC(O)CO)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.3786088716470566
CC/C=C\\C/C=C\\C/C=C\\CCCCCCCCOC(C)C(N(C)C)OCCCCCCCC/C=C\\C/C=C\\C/C=C\\CC,True,4.133403459658545
CCCCC/C=C\\C/C=C\\CCCCCCCCC(CN(C)C)C(CCCCCCCC/C=C\\C/C=C\\CCCCC)OC(=O)N,True,3.9914811298632022
CCCCCCCCCCCCN(CCCCCCCCCCCC)CCN1CCN(CC1)CCN(CCCCCCCCCCCC)CCN(CCCCCCCCCCCC)CCCCCCCCCCCC,True,2.9908550543650776
CCCCC/C=C/C/C=C/CCCCCCCCC(C(C(=O)O)CCN(C)C)CCCCCCCC/C=C/C/C=C/CCCCC,True,3.6234307205188427
CCCCC/C=C/C/C=C/CCCCCCCCC(C(N(C)C)CCC(=O)O)CCCCCCCC/C=C/C/C=C/CCCCC,True,3.643737363875486
CC(CCOC(=O)CCCCCCCCCN(CCCCCCCCCC(=O)OCCC(C)CC(C)(C)C)CCN(C)C)CC(C)(C)C,True,3.6793195753406236
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCCCN(CCCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCN(C)C,True,3.670173599265251
CCCCCCC(CCCC)COC(=O)CCCCCCCCCN(CCCCCCCCCC(=O)OCC(CCCC)CCCCCC)CCN(C)C,True,3.6411819944310357
CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8458544419489886
CCCCCCCCC(CCCCCC)C(=O)OCCCCCCCCCN(CCCCCCCCCOC(=O)C(CCCCCC)CCCCCCCC)CCO,True,3.62636267916358
CCCCCCCCCOC(=O)CCCN(CCCCCCCC(=O)OC(CCCCCCCC)CCCCCCCC)CCO,True,2.8103308558010767
CCCCCCCCC(CCCCCCCC)OC(=O)CCCCCCCN(CCCCCCCC(=O)OC/C=C\\CCCCCC)CCO,True,3.062552136842889
CCCCCC/C=C\\COC(=O)CCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC(=O)OC/C=C\\CCCCCC,True,3.077997481683358
CCCCCC/C=C/COC(=O)CCCCCCCC(OC(=O)CCCN(C)C)CCCCCCCC(=O)OC/C=C/CCCCCC,True,3.077997481683358
CCCCC/C=C\\C/C=C\\CCCCCCCCC(C(C(=O)O)CCN(C)C)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.6234307205188427
CCCCC/C=C\\C/C=C\\CCCCCCCCC(CN(C)C)C(C)(CCCCCCCC/C=C\\C/C=C\\CCCCC)C(=O)O,True,4.046390472782798
CCCCCCCC/C=C\\CCCCCCCC(=O)OCC(CN(C)C)OC(=O)CCCCCCC/C=C\\CCCCCCCC,True,3.3173100911482134
CCCCC/C=C\\C/C=C\\CCCCCCCCC(COCCN(C)C)C(=O)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.685173570574719
CC/C=C\\C/C=C\\C/C=C\\CCCCCCCCOCC(CN(C)C)OCCCCCCCC/C=C\\C/C=C\\C/C=C\\CC,True,3.7975807336983927
CCCCC/C=C\\C/C=C\\CCCCCCCC(=O)OCC(CN(C)C)OC(=O)CCCCCCC/C=C\\C/C=C\\CCCCC,True,3.591681344597294
CCCCC/C=C\\C/C=C\\CCCCCCCC(=O)C(CN(C)C)C(C(=O)CCCCCCC/C=C\\C/C=C\\CCCCC)C(=O)N,True,4.05419838919333
CCCCCCCCCCC(CN(CCCCC1C(=O)NC(C(=O)N1)CCCCN(CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)CC(CCCCCCCCCC)O)O,True,4.6666872045458945
CCCCCCCC/C=C\\CCCCCCCCOC(C)C(N(C)C)OCCCCCCCC/C=C\\CCCCCCCC,True,3.571104546933075
CCCCCCCCCOC(=O)CCCCCCCN(CCCCCCCCCC(CCCCCCCC)CCCCCCCC)CCO,True,2.7548571737847354
CCCCC/C=C\\C/C=C\\CCCCCCCCNC(=O)OCC(CN(C)C)OC(=O)NCCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.719534308513161
CCCCC/C=C\\C/C=C\\CCCCCCCCC(C(N(C)C)CCC(=O)O)CCCCCCCC/C=C\\C/C=C\\CCCCC,True,3.643737363875486
CCCCCCCC/C=C/CCCCCCCCOCC(CN(C)C)OCCCCCCCC/C=C/CCCCCCCC,True,3.2445861958328113
CCCCC/C=C\\C/C=C\\CCCCCCCCOCC(CN(C)C)OC(CCC)OC1CC[C@@]2(C3CC[C@@]4([C@H](CCC4C3CC=C2C1)[C@H](C)CCCC(C)C)C)C,True,5.406243530164399
CCCCCCCCCC(=O)OCCCCCCCCOC1=CC(=CC(=C1)CN(C)C)OCCCCCCCCOC(=O)CCCCCCCCC,True,2.740644256208494
CCCCC/C=C/C/C=C/CCCCCCCCC1(OC(CO1)CCN(C)C)CCCCCCCC/C=C/C/C=C/CCCCC,True,3.797056315894652
